,LABEL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
43,RIGHT,1.37,2.12,2.0,2.88,3.51,2.61,-4.17,-18.33,-27.65,-22.26,-11.46,-5.85,-5.43,-7.11,-8.41,-6.01,-0.13,4.22,5.68,9.15,14.68,10.65,-4.32,0.03,51.37,130.89,196.71,224.7,206.94,145.52,64.85,-3.55,-52.47,-87.92,-106.95,-110.61,-112.47,-115.95,-110.3,-97.11,-90.12,-92.47,-94.52,-88.5,-75.23,-63.14,-58.22,-55.29,-48.16,-41.04
44,RIGHT,-22.13,-26.65,-27.12,-28.36,-29.15,-25.95,-25.26,-29.51,-30.63,-26.87,-26.66,-34.08,-41.13,-37.79,-25.43,-14.1,-9.87,-10.07,-10.62,-11.38,-16.95,-27.15,-18.19,37.28,122.33,187.66,201.46,161.86,87.29,9.17,-48.26,-84.44,-109.56,-124.93,-129.88,-131.4,-134.46,-133.97,-124.57,-109.59,-96.49,-87.36,-81.31,-77.37,-71.14,-60.69,-52.71,-52.13,-53.32,-50.39
45,RIGHT,74.57,61.13,44.27,38.15,45.9,51.4,49.26,47.71,46.76,42.21,37.41,33.39,24.49,11.31,2.34,1.04,0.27,-5.58,-9.4,-4.88,-0.25,-5.64,-14.58,-1.73,54.28,137.92,203.54,216.24,172.75,96.44,21.84,-32.15,-71.0,-100.54,-116.53,-119.92,-120.43,-123.59,-126.41,-124.58,-118.52,-110.69,-102.91,-99.0,-98.6,-93.7,-82.84,-73.96,-69.49,-64.46
46,RIGHT,57.46,90.11,118.84,131.89,135.57,142.14,142.08,105.8,22.54,-68.61,-113.31,-100.56,-56.25,-0.3,59.48,111.12,143.88,160.21,168.46,168.77,158.9,145.19,132.42,120.33,120.49,152.83,211.71,265.25,291.56,284.17,237.57,163.58,92.71,38.22,-5.85,-38.44,-59.19,-74.82,-86.18,-91.59,-92.76,-91.82,-91.55,-93.11,-94.99,-96.85,-98.01,-94.0,-82.42,-71.06
47,RIGHT,-12.95,-13.9,-12.45,-14.38,-19.87,-22.03,-20.28,-22.98,-30.78,-35.22,-33.91,-30.88,-27.62,-26.09,-27.76,-28.51,-23.93,-20.12,-25.44,-36.37,-41.66,-34.24,-10.58,37.53,107.22,170.28,197.14,179.64,126.86,58.32,-4.56,-53.97,-92.96,-121.06,-136.12,-139.17,-131.19,-116.79,-105.25,-102.2,-102.47,-99.14,-94.09,-91.43,-87.2,-77.94,-66.05,-56.91,-53.73,-53.62
48,RIGHT,-5.49,13.4,36.67,39.76,28.28,18.93,16.52,15.64,11.21,3.93,-0.2,0.63,0.34,-4.6,-9.07,-8.7,-6.64,-7.83,-11.33,-12.11,-8.31,-3.93,5.78,40.79,107.36,174.84,202.18,173.18,102.18,21.21,-40.76,-78.3,-104.66,-127.71,-143.26,-149.09,-147.07,-138.09,-127.22,-115.77,-91.62,-57.09,-42.58,-61.13,-87.44,-100.0,-104.01,-106.93,-106.76,-102.13
49,RIGHT,19.44,13.71,-3.7,-15.19,-10.38,-1.98,-3.03,-11.19,-16.88,-14.83,-9.75,-7.39,-7.83,-11.51,-18.44,-22.59,-22.08,-23.94,-28.56,-27.71,-21.3,-20.2,-24.26,-0.76,78.49,175.93,224.79,202.87,131.52,46.99,-17.3,-51.61,-67.55,-73.68,-76.94,-90.3,-112.9,-130.49,-137.72,-134.46,-122.34,-109.98,-101.14,-91.9,-83.07,-77.08,-71.95,-65.25,-57.65,-49.4
50,RIGHT,-7.47,-17.65,-25.48,-31.24,-37.4,-42.97,-43.0,-41.3,-45.02,-48.89,-43.81,-33.49,-29.06,-35.21,-48.18,-59.66,-60.53,-50.02,-41.02,-40.73,-41.84,-39.82,-34.88,-11.91,53.97,149.46,213.41,207.09,150.08,77.73,10.07,-42.98,-76.79,-93.66,-100.68,-104.44,-106.43,-103.02,-90.97,-79.51,-80.47,-83.9,-71.07,-49.01,-39.45,-42.36,-42.61,-41.37,-46.88,-48.6
51,RIGHT,-3.24,-11.02,-15.4,-11.2,-5.25,-10.05,-20.38,-21.45,-19.42,-24.86,-30.96,-31.45,-28.64,-22.81,-15.28,-11.57,-12.8,-15.0,-15.08,-10.57,-5.02,-7.78,-11.2,11.5,74.12,158.09,225.8,246.42,211.47,137.76,55.16,-16.09,-67.45,-95.2,-107.88,-119.63,-128.38,-124.89,-112.62,-104.26,-105.41,-109.0,-107.06,-99.53,-88.37,-78.15,-73.57,-68.19,-56.89,-47.46
52,RIGHT,46.17,41.53,30.32,19.78,14.41,15.42,18.53,15.96,7.46,1.99,3.41,2.37,-9.27,-22.03,-23.18,-19.97,-24.38,-30.96,-30.16,-25.55,-22.11,-14.16,8.32,48.87,106.03,170.69,209.61,186.96,113.49,32.27,-30.4,-68.46,-81.21,-80.24,-85.44,-102.39,-113.39,-108.36,-104.85,-107.68,-94.54,-72.49,-71.77,-83.72,-79.91,-67.46,-67.01,-71.25,-66.67,-58.89
53,RIGHT,-9.9,-23.07,-31.67,-32.43,-34.71,-37.0,-30.41,-22.85,-28.51,-39.76,-41.56,-40.94,-50.48,-61.76,-61.84,-56.15,-57.27,-62.89,-61.09,-50.92,-42.54,-38.12,-14.7,50.28,135.21,194.29,206.54,177.53,115.58,36.45,-33.92,-85.19,-122.24,-144.16,-149.47,-144.98,-140.0,-140.02,-139.36,-128.32,-114.64,-111.93,-112.93,-104.16,-92.64,-88.18,-86.02,-81.09,-72.1,-53.99
